text,label,source
dynamic rendering of user detail,development,hf_github_issues
x review git codereview documentation and tool behavior don t match for git codereview change,ops,hf_github_issues
Napraw błąd w paginacji,support,synthetic_pl
Pozyskanie sieci hotelowe,outreach,synthetic_pl
Pitch sprzedażowy dla klientów enterprise,outreach,synthetic_pl
run intro exit animation,development,hf_github_issues
Update documentation for Next.js to v15,ops,synthetic_en
Run promo on blog,marketing,synthetic_en
Launch SEO campaign campaign,marketing,synthetic_en
Error in kalendarza reported by user,support,synthetic_en
Create new powiadomienia email,development,synthetic_en
Investigate security posture,research,synthetic_en
x crypto nacl secretbox clarify message size limit with seal function,ops,hf_github_issues
Sales pitch for 20 hotels,outreach,synthetic_en
requirement zipkin setup on linux machine,development,hf_github_issues
how to remove playernotificationmanager when playlist arrive some track,support,hf_github_issues
add a tooltip to filter value set in preference,development,hf_github_issues
nacos namingservice configservice,development,hf_github_issues
Grafika i layout dla stronę docelową,design,synthetic_pl
Partnerstwo: 20 hoteli,outreach,synthetic_pl
Aktualizacja CI/CD pipeline,ops,synthetic_pl
process env variable be replace at run time,ops,hf_github_issues
use mock maker inline on mocktio to mock final class on all test case,development,hf_github_issues
allow disable all statusline,development,hf_github_issues
Fix bug in paginacji,support,synthetic_en
Partnerstwo: inwestorów,outreach,synthetic_pl
Zgłoszenie klienta dotyczące paginacji,support,synthetic_pl
text template add more package doc,ops,hf_github_issues
display correct message for iterrable string for miss downlevel iterator flag,support,hf_github_issues
refactor editor theme generation and add spacing preset,development,hf_github_issues
Przygotuj newsletter o dashboard KPI,marketing,synthetic_pl
Research: evaluate the framework,research,synthetic_en
thread pool should be create with namedthreadfactory for identification,development,hf_github_issues
Dodaj task search,development,synthetic_pl
add readme md in hack,ops,hf_github_issues
Partnerstwo: potential partners,outreach,synthetic_pl
Prototyp system ikon,design,synthetic_pl
fix deprecation warning in javadoc comment,ops,hf_github_issues
allow a top and bottom radius equal to 0 in cylindermesh,ops,hf_github_issues
Create mockup for stronę docelową,design,synthetic_en
Zbuduj dark mode,development,synthetic_pl
add sass package in installation command,ops,hf_github_issues
Pitch sprzedażowy dla early adopters,outreach,synthetic_pl
Konfiguracja migrację bazy,ops,synthetic_pl
Refaktoryzacja tablicy sprintu,ops,synthetic_pl
Audit third-party APIs,research,synthetic_en
Schedule demo with wczesnych użytkowników,outreach,synthetic_en
discussion deprecate non type safe gson fromjson type overload,development,hf_github_issues
Build powiadomienia email,development,synthetic_en
pt run registry allow to open key via registry editor regedit without elevation,development,hf_github_issues
for the life of I I can t figure out what s happen api route come back 404 in certain area but work locally,support,hf_github_issues
Grafika i layout dla makietę dashboardu,design,synthetic_pl
Wireframe stronę docelową,design,synthetic_en
Kampania marketingowa na kampanię email,marketing,synthetic_pl
Badanie security posture przed decyzją,research,synthetic_pl
Optymalizacja SEO dla Instagram,marketing,synthetic_pl
Prepare press release about kreator onboardingu,marketing,synthetic_en
Handle customer feedback on the editor,support,synthetic_en
Spike: explore rynku hotelowego,research,synthetic_en
unmet peer dependency,support,hf_github_issues
bug regression 35930 break cjs via esm loading when export null undefine with electron run as node,support,hf_github_issues
Sales pitch for potencjalnych partnerów,outreach,synthetic_en
Promocja produktu przez newsletter,marketing,synthetic_pl
Napisz artykuł na Instagram,marketing,synthetic_pl
Przygotuj newsletter o powiadomienia email,marketing,synthetic_pl
Hotfix: realtime is broken,support,synthetic_en
default log level be inconsistent between log4j2 and logback,support,hf_github_issues
generictyperesolver do not resolve the correct parameter type when bind type be also parameterizedtype spr 10819,support,hf_github_issues
Cold mailing do enterprise leads,outreach,synthetic_pl
Kampania email do inwestorów,marketing,synthetic_pl
Zbuduj CSV export,development,synthetic_pl
Dodaj tryb ciemny,development,synthetic_pl
Setup dokumentację API,ops,synthetic_en
Configure Next.js to v15,ops,synthetic_en
fix index out of size textedit s spam to output when use expression node in the visual shader,support,hf_github_issues
Przygotuj newsletter o kreator onboardingu,marketing,synthetic_pl
android export validate apk content before export,development,hf_github_issues
Design paletę kolorów,design,synthetic_en
Growth: acquire potencjalnych partnerów,outreach,synthetic_en
Pozyskanie enterprise leads,outreach,synthetic_pl
Redesign typografię,design,synthetic_en
Makieta: landing page,design,synthetic_pl
question show symbol instead of symbol name,development,hf_github_issues
Plan marketing campaign on kampanię email,marketing,synthetic_en
Hotfix: the calendar is broken,support,synthetic_en
Cold outreach to sieci hotelowe,outreach,synthetic_en
Run promo on LinkedIn,marketing,synthetic_en
explanation for module,ops,hf_github_issues
Growth: acquire 20 hotels,outreach,synthetic_en
Dodaj wyszukiwarkę zadań,development,synthetic_pl
Write blog post about narzędzi PM,marketing,synthetic_en
POC dla konkurencji,research,synthetic_pl
Prototype kartę zadania in Figma,design,synthetic_en
Błąd w obszarze the form,support,synthetic_pl
Write blog post about rynku hotelowego,marketing,synthetic_en
enhance support for oracle sql parse,development,hf_github_issues
Hotfix: the form is broken,support,synthetic_en
Investigate the hotel market,research,synthetic_en
Pozyskanie 20 hotels,outreach,synthetic_pl
Kampania email do investors,marketing,synthetic_pl
bug particle 2d lightmask viewport,support,hf_github_issues
flink 2777 the description of programming guide html have some issue,ops,hf_github_issues
Cold outreach to enterprise leads,outreach,synthetic_en
Grafika i layout dla paletę kolorów,design,synthetic_pl
Redesign paletę kolorów,design,synthetic_en
Implement backlog filter,development,synthetic_en
SEO optimization for X (Twitter),marketing,synthetic_en
Resolve crash in auth flow,support,synthetic_en
SEO optimization for blog,marketing,synthetic_en
Prototype color palette in Figma,design,synthetic_en
Nowa funkcja: dark mode,development,synthetic_pl
Nowa funkcja: kreator onboardingu,development,synthetic_pl
Przeprojektuj kartę zadania,design,synthetic_pl
android refactor custom build option in export preset,development,hf_github_issues
3d object drop into the viewport do not respect original positioning and reset it to cursor position,support,hf_github_issues
Pitch sprzedażowy dla 20 hotels,outreach,synthetic_pl
SEO optimization for Instagram,marketing,synthetic_en
8720 fix the problem that request log publishconfig and deleteconfig do not effectively work,support,hf_github_issues
Prototype task card in Figma,design,synthetic_en
optimize scale core package,development,hf_github_issues
Implement task search,development,synthetic_en
SEO optimization for email campaign,marketing,synthetic_en
Configure Dockerfile,ops,synthetic_en
Growth: acquire sieci hotelowe,outreach,synthetic_en
correct typos chapter 21 jms spr 7609,ops,hf_github_issues
Zaimplementuj Gantt view,development,synthetic_pl
Build filtr backlogu,development,synthetic_en
Rozwiąż problem z tablicy sprintu,support,synthetic_pl
doc move icpmain handle call in tutorial part 3,ops,hf_github_issues
Fix bug in kalendarza,support,synthetic_en
Wdrożenie dependencies,ops,synthetic_pl
debug console do not support special code color clear line etc,support,hf_github_issues
round managedfield time to the near second before sort,support,hf_github_issues
Refactor logowania code,ops,synthetic_en
Optymalizacja SEO dla social media,marketing,synthetic_pl
menuitem toolbar tool could use an option for radio check item,development,hf_github_issues
some 2d nodes aren t visible canvas item add triangle array doesn t work,support,hf_github_issues
document that order can not be use on a filter s bean method to set the filter s order,ops,hf_github_issues
Hotfix: zepsute auth flow,support,synthetic_pl
warn message not consistent with buld style guide,ops,hf_github_issues
fix typo,ops,hf_github_issues
Nowa funkcja: panel KPI,development,synthetic_pl
draggin in out from port to create node in animation blend tree editor,development,hf_github_issues
Grafika i layout dla logo,design,synthetic_pl
rustc perf fail to build after 107956,support,hf_github_issues
macos colemak keyboard not correctly use switch to qwerty,development,hf_github_issues
incorrect text be display after capture the sector,support,hf_github_issues
Aktualizacja API docs,ops,synthetic_pl
Research: evaluate the pricing model,research,synthetic_en
doc upgrade to docusaurus 2,ops,hf_github_issues
Handle customer feedback on the calendar,support,synthetic_en
net after call of tcp udp ip unix conn tcp unix listener file the deadline will be ineffective,ops,hf_github_issues
Run promo on social media,marketing,synthetic_en
Add Gantt view to the app,development,synthetic_en
Integrate panel KPI,development,synthetic_en
Promocja produktu przez social media,marketing,synthetic_pl
support order by clause for aggregation,development,hf_github_issues
Build email digest,development,synthetic_en
delegation of nextreader call,development,hf_github_issues
taskbar widget to view currently select virtual desktop,development,hf_github_issues
el editor de dise o de fancy zone no funciona,support,hf_github_issues
Growth: acquire early adopters,outreach,synthetic_en
Zaprojektuj landing page,design,synthetic_pl
launch pad menu icon and build texture don t match the new launch pad texture,support,hf_github_issues
correct exposure shutter speed description to match reality and engine functionality,ops,hf_github_issues
Analiza modelu cenowego,research,synthetic_pl
store arraymesh path in renderingserver for use in error message,development,hf_github_issues
rust server add client documentation to rust server,ops,hf_github_issues
Umów demo z inwestorów,outreach,synthetic_pl
improve create your own starter to mention how to document property,ops,hf_github_issues
Sales pitch for potential partners,outreach,synthetic_en
flink 5303 table support for sql grouping set clause,ops,hf_github_issues
Przygotuj newsletter o CSV export,marketing,synthetic_pl
getter property be not accessible at run time es6,support,hf_github_issues
Dokumentacja README,ops,synthetic_pl
Growth: acquire enterprise leads,outreach,synthetic_en
Aktualizacja Next.js do v15,ops,synthetic_pl
Sales pitch for inwestorów,outreach,synthetic_en
cmd go revise go help documentation for module and module aware command,ops,hf_github_issues
support reassign own statement and refresh materialize view statement in postgresql,development,hf_github_issues
Spike: explore security posture,research,synthetic_en
Partnerstwo: klientów enterprise,outreach,synthetic_pl
POC dla wydajności,research,synthetic_pl
Write blog post about the hotel market,marketing,synthetic_en
Wdróż kreator onboardingu,development,synthetic_pl
Rozwiąż problem z login,support,synthetic_pl
Zaprojektuj dashboard mockup,design,synthetic_pl
Prototyp makietę dashboardu,design,synthetic_pl
Błąd w obszarze pagination,support,synthetic_pl
Configure Next.js do v15,ops,synthetic_en
profiling support downsampling of generic event,development,hf_github_issues
unable to configure next config js,support,hf_github_issues
Hotfix: zepsute login,support,synthetic_pl
Launch media społecznościowe campaign,marketing,synthetic_en
Rozeznanie rynku: security posture,research,synthetic_pl
Zbuduj eksport CSV,development,synthetic_pl
Design logo,design,synthetic_en
Plan marketing campaign on email campaign,marketing,synthetic_en
Launch newsletter campaign,marketing,synthetic_en
can we override visibility of prev and next button,development,hf_github_issues
Redesign icon set,design,synthetic_en
Configure the DB migration,ops,synthetic_en
Zaprojektuj paletę kolorów,design,synthetic_pl
Redesign dashboard mockup,design,synthetic_en
Implement Gantt view,development,synthetic_en
add changelog of 6 2 0,ops,hf_github_issues
bug memory corruption in cv repeat when src dst,support,hf_github_issues
Sales pitch for 20 hoteli,outreach,synthetic_en
Błąd w obszarze formularza,support,synthetic_pl
fix miss undefined check,support,hf_github_issues
track issue spring clean the runtime,development,hf_github_issues
Rozeznanie rynku: third-party APIs,research,synthetic_pl
Rozeznanie rynku: narzędzi PM,research,synthetic_pl
micro speech recognize command test cc bug,support,hf_github_issues
Rozwiąż problem z formularza,support,synthetic_pl
Umów demo z wczesnych użytkowników,outreach,synthetic_pl
Handle customer feedback on paginacji,support,synthetic_en
Aktualizacja konfigurację ESLint,ops,synthetic_pl
Umów demo z potencjalnych partnerów,outreach,synthetic_pl
Napisz artykuł na media społecznościowe,marketing,synthetic_pl
Zbuduj dashboard KPI,development,synthetic_pl
Error in the calendar reported by user,support,synthetic_en
Nowa funkcja: backlog filter,development,synthetic_pl
Setup ESLint config,ops,synthetic_en
Implement kreator onboardingu,development,synthetic_en
Optymalizacja SEO dla kampanię email,marketing,synthetic_pl
Zaimplementuj email digest,development,synthetic_pl
Kampania email do hotel chains,marketing,synthetic_pl
SEO optimization for newsletter,marketing,synthetic_en
Dokumentacja the DB migration,ops,synthetic_pl
Makieta: system ikon,design,synthetic_pl
collision exception and node freeing error in godot 4 0 3,ops,hf_github_issues
doc test ts doc change,ops,hf_github_issues
k8s deployment can not be elect normally warn be leader no leader be available now,support,hf_github_issues
Pozyskanie inwestorów,outreach,synthetic_pl
Integrate filtr backlogu,development,synthetic_en
Hotfix: zepsute tablicy sprintu,support,synthetic_pl
drop levelremappingappend,ops,hf_github_issues
Audit competitor pricing,research,synthetic_en
feature request support access log for webui,development,hf_github_issues
Pozyskanie early adopters,outreach,synthetic_pl
indexshardgatewayservice should not call post recovery if shard be in start state,support,hf_github_issues
Sales pitch for hotel chains,outreach,synthetic_en
render loop in live example in the documentation waste energy,ops,hf_github_issues
Analysis of PM tools,research,synthetic_en
community contribution for google grpc starter project,ops,hf_github_issues
Badanie the hotel market przed decyzją,research,synthetic_pl
Zbadaj security posture,research,synthetic_pl
Wdróż email digest,development,synthetic_pl
Błąd w obszarze autoryzacji,support,synthetic_pl
Rozeznanie rynku: modelu cenowego,research,synthetic_pl
install txt reference incorrect package groovy version,ops,hf_github_issues
transition from vim wiki link break,ops,hf_github_issues
cmd link fail to set variable at build time if variable value be result from method call,ops,hf_github_issues
Run promo on X (Twitter),marketing,synthetic_en
Partnership outreach: hotel chains,outreach,synthetic_en
add utf 8 only comment to three decoder,ops,hf_github_issues
Rozeznanie rynku: bezpieczeństwa,research,synthetic_pl
Prepare press release about wyszukiwarkę zadań,marketing,synthetic_en
Schedule demo with 20 hoteli,outreach,synthetic_en
when play multiplayer campaign client side research doesn t use resource,support,hf_github_issues
Create new CSV export,development,synthetic_en
Research: evaluate wydajności,research,synthetic_en
Promocja produktu przez X (Twitter),marketing,synthetic_pl
scn 3d scene invisible in the editor but visible in the running project,support,hf_github_issues
fix typo in manual change,ops,hf_github_issues
Investigate PM tools,research,synthetic_en
Fix bug in the form,support,synthetic_en
doc add a note that tray setimage can segfault on linux,ops,hf_github_issues
Spike: explore wydajności,research,synthetic_en
Research: evaluate PM tools,research,synthetic_en
Partnership outreach: 20 hotels,outreach,synthetic_en
Wdróż dark mode,development,synthetic_pl
change hashmap to linkedhashmap for deterministic iteration,development,hf_github_issues
Badanie modelu cenowego przed decyzją,research,synthetic_pl
vertical alignement tabcontainer menu button,development,hf_github_issues
Add kreator onboardingu to the app,development,synthetic_en
Spike: explore narzędzi PM,research,synthetic_en
Plan marketing campaign on LinkedIn,marketing,synthetic_en
Zbadaj konkurencji,research,synthetic_pl
Kampania marketingowa na Instagram,marketing,synthetic_pl
add support for openxr varjo quad view render,development,hf_github_issues
echoparam doesn t work as advertise,support,hf_github_issues
Konfiguracja dependencies,ops,synthetic_pl
random nvoglv32 dll crash,support,hf_github_issues
Email campaign for potencjalnych partnerów,marketing,synthetic_en
Reklama na email campaign,marketing,synthetic_pl
Cold outreach to hotel chains,outreach,synthetic_en
enhance invalidate token api,development,hf_github_issues
Handle customer feedback on edytora,support,synthetic_en
Wdrożenie README,ops,synthetic_pl
flink 27086 doc add a qa about how to handle exception when use hive parser in hive dialect document,ops,hf_github_issues
exoplayer do not play h264 avc1 file on galaxy tab a7,support,hf_github_issues
Partnerstwo: potencjalnych partnerów,outreach,synthetic_pl
add mustache template support,development,hf_github_issues
update 404 get initial prop md,ops,hf_github_issues
Kampania email do klientów enterprise,marketing,synthetic_pl
Setup API docs,ops,synthetic_en
Zbuduj task search,development,synthetic_pl
Promocja produktu przez Instagram,marketing,synthetic_pl
jooq version upgrade to 3 7 0,development,hf_github_issues
Update documentation for dependencies,ops,synthetic_en
Upgrade zależności,ops,synthetic_en
feature request allow capture video photo in browser,development,hf_github_issues
doc document optional scalefactor param to nativeimage fns,ops,hf_github_issues
Design task card,design,synthetic_en
change filelocksmith activation bahaviour,development,hf_github_issues
godot 4 beta 17 shader doesn t compute after project reload,support,hf_github_issues
Write blog post about konkurencji,marketing,synthetic_en
detection of nest configuration could be more lenient,development,hf_github_issues
Refaktoryzacja the form,ops,synthetic_pl
Napraw błąd w the editor,support,synthetic_pl
texture unpacker implementation with support for ninepatch,development,hf_github_issues
Hotfix: zepsute logowania,support,synthetic_pl
Refaktoryzacja formularza,ops,synthetic_pl
applicationreadyevent fire multiple time while use springapplicationbuilder,ops,hf_github_issues
Prepare press release about panel KPI,marketing,synthetic_en
fix python3 8 relative import,development,hf_github_issues
Error in autoryzacji reported by user,support,synthetic_en
Schedule demo with hotel chains,outreach,synthetic_en
Aktualizacja Dockerfile,ops,synthetic_pl
POC dla security posture,research,synthetic_pl
Implement dashboard KPI,development,synthetic_en
flink 30923 documentation provide single script for instal hugo,ops,hf_github_issues
Umów demo z hotel chains,outreach,synthetic_pl
Rozeznanie rynku: the framework,research,synthetic_pl
Dokumentacja Dockerfile,ops,synthetic_pl
Schedule demo with investors,outreach,synthetic_en
h264 video access unit delimeter miss cause exoplayer to get stuck in prepare state,development,hf_github_issues
Kampania marketingowa na SEO campaign,marketing,synthetic_pl
Schedule demo with potencjalnych partnerów,outreach,synthetic_en
Create new onboarding wizard,development,synthetic_en
Update documentation for API docs,ops,synthetic_en
language service do not understand index signature in template,support,hf_github_issues
Przeprojektuj paletę kolorów,design,synthetic_pl
can t install postgresql driver after clean windows 10 reinstallation,development,hf_github_issues
go doc document that empty single quote 39 be convert to unicode quote 8221,ops,hf_github_issues
Analysis of rynku hotelowego,research,synthetic_en
Handle customer feedback on auth flow,support,synthetic_en
Research: evaluate konkurencji,research,synthetic_en
Update documentation for the DB migration,ops,synthetic_en
Napraw błąd w the calendar,support,synthetic_pl
Update documentation for ESLint config,ops,synthetic_en
Prototyp icon set,design,synthetic_pl
Run promo on Instagram,marketing,synthetic_en
Investigate modelu cenowego,research,synthetic_en
performance of helloworld5000 could be improve,development,hf_github_issues
crash on pico hmd,support,hf_github_issues
Pitch sprzedażowy dla investors,outreach,synthetic_pl
add memory usage tracking to orcpagesource,development,hf_github_issues
Integrate dark mode,development,synthetic_en
Add task search to the app,development,synthetic_en
sql enhance error message on filter check against agg,development,hf_github_issues
Reklama na Instagram,marketing,synthetic_pl
painless array equality check,development,hf_github_issues
window custom build executable have no icon,support,hf_github_issues
Build CSV export,development,synthetic_en
trait object coercion have problem with contravariant struct and lifetime bound,development,hf_github_issues
Add panel KPI to the app,development,synthetic_en
Zaprojektuj task card,design,synthetic_pl
Wireframe logo,design,synthetic_en
Run promo on kampanię email,marketing,synthetic_en
Konfiguracja Dockerfile,ops,synthetic_pl
add font color for button when focus,development,hf_github_issues
POC dla the hotel market,research,synthetic_pl
fix typo in the documentation for autobuffer,ops,hf_github_issues
e2e fix memory manager test,support,hf_github_issues
align maven version in system requirement with what be actually test,ops,hf_github_issues
Przeprojektuj color palette,design,synthetic_pl
Promocja produktu przez media społecznościowe,marketing,synthetic_pl
Prototyp Figma prototype,design,synthetic_pl
Launch email campaign campaign,marketing,synthetic_en
core spring interface declare with java 8 default method and functionalinterface marker spr 14432,development,hf_github_issues
Upgrade dependencies,ops,synthetic_en
Setup Next.js do v15,ops,synthetic_en
Email campaign for 20 hotels,marketing,synthetic_en
jump link render wrong on small screen,support,hf_github_issues
Growth: acquire hotel chains,outreach,synthetic_en
404 page and similar should have relpermalink permalink,development,hf_github_issues
register thymeleaf s java8timedialect by default if on the classpath,development,hf_github_issues
Configure ESLint config,ops,synthetic_en
Rozeznanie rynku: PM tools,research,synthetic_pl
Analysis of performance,research,synthetic_en
Zgłoszenie klienta dotyczące sprint board,support,synthetic_pl
Makieta: task card,design,synthetic_pl
add connectiondetail and serviceconnection support to pulsar,development,hf_github_issues
Schedule demo with early adopters,outreach,synthetic_en
Launch kampanię SEO campaign,marketing,synthetic_en
Przeprojektuj Figma prototype,design,synthetic_pl
Optymalizacja SEO dla newsletter,marketing,synthetic_pl
Zaprojektuj typografię,design,synthetic_pl
assert eq x y doesn t coerce as well as assert x y do,development,hf_github_issues
oauth 2 configuration example use unrecognized value for authorization grant type,ops,hf_github_issues
revert forbid implicit type conversion in gdscript,support,hf_github_issues
Wdróż task search,development,synthetic_pl
change in behavior in how diagnostic squiggle be show between v1 61 and 1 62,support,hf_github_issues
Partnership outreach: investors,outreach,synthetic_en
Fix bug in login,support,synthetic_en
Napraw błąd w sprint board,support,synthetic_pl
can I safely change the type of flush disk,support,hf_github_issues
window fix gcc mingw warning,development,hf_github_issues
bugfix fix rm channel get npe when resourceid be empty,support,hf_github_issues
Cold outreach to investors,outreach,synthetic_en
ground unit not pathfinde to a command center,support,hf_github_issues
Configure migrację bazy,ops,synthetic_en
chop off trail content in one multioutput setup,support,hf_github_issues
Partnerstwo: 20 hotels,outreach,synthetic_pl
Investigate frameworka,research,synthetic_en
POC dla rynku hotelowego,research,synthetic_pl
Build onboarding wizard,development,synthetic_en
SEO optimization for kampanię SEO,marketing,synthetic_en
Create new filtr backlogu,development,synthetic_en
Analiza performance,research,synthetic_pl
Nowa funkcja: email digest,development,synthetic_pl
Sales pitch for early adopters,outreach,synthetic_en
Przeprojektuj landing page,design,synthetic_pl
Pitch sprzedażowy dla potential partners,outreach,synthetic_pl
Build Gantt view,development,synthetic_en
Błąd w obszarze the editor,support,synthetic_pl
code sample in develop your first spring boot application do not work,ops,hf_github_issues
Reklama na kampanię SEO,marketing,synthetic_pl
Prepare press release about backlog filter,marketing,synthetic_en
Zaimplementuj eksport CSV,development,synthetic_pl
Design typography,design,synthetic_en
caffeine license,ops,hf_github_issues
Write blog post about wydajności,marketing,synthetic_en
bug typescript fetch name convention of generate request type be different from spec file,support,hf_github_issues
Redesign kartę zadania,design,synthetic_en
automate cherry pick of 57265 by default block service proxy to external ip address,support,hf_github_issues
Zbuduj panel KPI,development,synthetic_pl
improve documentation for imread unchanged flag,ops,hf_github_issues
Create mockup for makietę dashboardu,design,synthetic_en
check whether the charsequence have letter character,development,hf_github_issues
Reklama na SEO campaign,marketing,synthetic_pl
Pozyskanie potencjalnych partnerów,outreach,synthetic_pl
Kampania marketingowa na LinkedIn,marketing,synthetic_pl
imgcodec add volatile due to setjmp comment,ops,hf_github_issues
Cold mailing do sieci hotelowe,outreach,synthetic_pl
Cold mailing do 20 hoteli,outreach,synthetic_pl
powertoy vs greenshot,support,hf_github_issues
remove entry for oci starter as it be no long maintain,ops,hf_github_issues
documentation on cc library include be wrong,ops,hf_github_issues
Write blog post about performance,marketing,synthetic_en
Create new dashboard KPI,development,synthetic_en
asset library image aren t be load due to https,support,hf_github_issues
Kampania email do 20 hotels,marketing,synthetic_pl
POC dla the pricing model,research,synthetic_pl
default font be vertically offset on some linux distribution,support,hf_github_issues
Refactor sprint board code,ops,synthetic_en
Umów demo z klientów enterprise,outreach,synthetic_pl
Prepare press release about task search,marketing,synthetic_en
Wdrożenie dokumentację API,ops,synthetic_pl
doesn t the late exoplayer even try to play if it go beyond the spec define on the device,support,hf_github_issues
doc physic 2d directbodystate update,ops,hf_github_issues
Rozwiąż problem z the calendar,support,synthetic_pl
doc minor change chaiscript to mockascript,ops,hf_github_issues
3 4 1 break backward compatibility for user of readonlyarray,support,hf_github_issues
Analiza narzędzi PM,research,synthetic_pl
Research: evaluate performance,research,synthetic_en
extend the tutorial change the contrast and brightness of an image,ops,hf_github_issues
Napisz artykuł na X (Twitter),marketing,synthetic_pl
Optymalizacja SEO dla kampanię SEO,marketing,synthetic_pl
Schedule demo with sieci hotelowe,outreach,synthetic_en
Email campaign for hotel chains,marketing,synthetic_en
fix duplicate word in comment,ops,hf_github_issues
fancyzone do not respond on virtual desktop 2 3 until recreate,support,hf_github_issues
Aktualizacja the DB migration,ops,synthetic_pl
Hotfix: zepsute pagination,support,synthetic_pl
Investigate narzędzi PM,research,synthetic_en
Dodaj filtr backlogu,development,synthetic_pl
Zbadaj rynku hotelowego,research,synthetic_pl
Reklama na blog,marketing,synthetic_pl
fix problem where kubectl apply stop after first error,support,hf_github_issues
Analysis of narzędzi PM,research,synthetic_en
Setup CI/CD pipeline,ops,synthetic_en
Launch X (Twitter) campaign,marketing,synthetic_en
inherit scene don t receive base name change lose local resource,support,hf_github_issues
Kampania email do sieci hotelowe,marketing,synthetic_pl
Wdróż wyszukiwarkę zadań,development,synthetic_pl
Redesign makietę dashboardu,design,synthetic_en
implement llm stream api of alibaba tongyi model,development,hf_github_issues
Build kreator onboardingu,development,synthetic_en
Napisz artykuł na LinkedIn,marketing,synthetic_pl
Integrate CSV export,development,synthetic_en
Analysis of API dostawców,research,synthetic_en
tag throw error since alpha 48 d388c0a,support,hf_github_issues
Dokumentacja deploy na Netlify,ops,synthetic_pl
Wireframe paletę kolorów,design,synthetic_en
Error in sprint board reported by user,support,synthetic_en
Create new wyszukiwarkę zadań,development,synthetic_en
Redesign system ikon,design,synthetic_en
Grafika i layout dla system ikon,design,synthetic_pl
Email campaign for 20 hoteli,marketing,synthetic_en
Przygotuj newsletter o task search,marketing,synthetic_pl
Zbuduj filtr backlogu,development,synthetic_pl
Partnership outreach: potential partners,outreach,synthetic_en
update mvnw to late version,ops,hf_github_issues
Prototyp landing page,design,synthetic_pl
require acknowledgement to start trial license,support,hf_github_issues
Analiza rynku hotelowego,research,synthetic_pl
text extractor,support,hf_github_issues
Wdróż CSV export,development,synthetic_pl
Grafika i layout dla color palette,design,synthetic_pl
add opentelemetry as new source for log,ops,hf_github_issues
Konfiguracja dokumentację API,ops,synthetic_pl
Pozyskanie hotel chains,outreach,synthetic_pl
devtool documentation incorrectly use compileonly gradle scope,ops,hf_github_issues
Create new email digest,development,synthetic_en
Dodaj eksport CSV,development,synthetic_pl
an extension spamme console log will take a lot of cpu time in the render process,support,hf_github_issues
texturerect fail to tile when subviewport node in the same tree,support,hf_github_issues
Wireframe kartę zadania,design,synthetic_en
allow seamless switching between different audio track e g in mkv,development,hf_github_issues
allow binary sort value,development,hf_github_issues
Spike: explore bezpieczeństwa,research,synthetic_en
Zaimplementuj kreator onboardingu,development,synthetic_pl
Error in edytora reported by user,support,synthetic_en
Upgrade deploy na Netlify,ops,synthetic_en
issue 11618 add the config of max thread count for client worker name polling,development,hf_github_issues
Upgrade Dockerfile,ops,synthetic_en
doc be inconsistent about support for os x sandboxe,ops,hf_github_issues
doc clarify middleware file name when use custom page extension,ops,hf_github_issues
add an example on iterate an array backwards,ops,hf_github_issues
Plan marketing campaign on Instagram,marketing,synthetic_en
Reklama na kampanię email,marketing,synthetic_pl
support for 32 bit image thumbnail in the file explorer exr hdr etc,development,hf_github_issues
